Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g10231.t1	2	7	0	0	0	3	3	3
g10232.t1	0	0	0	0	0	0	0	0
g10233.t1	3	0	2	2	0	0	0	0
g10234.t1	206	195	185	185	202	223	263	263
g10235.t1	0	0	0	0	0	0	0	0
g10236.t1	9	0	3	3	0	14	8	8
g10237.t1	0	0	2	2	0	0	0	0
g10238.t1	0	0	0	0	0	0	0	0
g10239.t1	0	0	0	0	0	0	0	0
g10239.t2	0	0	0	0	0	0	0	0
g1024.t1	0	5	2	2	3	2	0	0
g1024.t2	0	0	0	0	0	0	0	0
g10240.t1	0	0	5	5	0	0	0	0
g10241.t1	0	0	0	0	0	5	0	0
g10242.t1	0	0	0	0	0	0	0	0
g10243.t1	0	0	0	0	0	0	0	0
g10244.t1	0	0	0	0	0	0	0	0
g10244.t2	0	0	0	0	0	0	0	0
g10245.t1	5	2	0	0	0	0	0	0
g10246.t1	0	0	0	0	0	0	0	0
g10247.t1	0	0	0	0	0	0	0	0
g10247.t2	0	8	4	4	10	0	0	0
g10248.t1	0	3	0	0	0	0	0	0
g10249.t1	0	0	0	0	0	0	0	0
g1025.t1	0	0	0	0	0	0	0	0
g10250.t1	20	20	8	8	15	11	14	14
g10251.t1	0	0	0	0	0	0	8	8
g10251.t2	0	0	0	0	0	0	0	0
g10251.t3	0	0	0	0	0	0	0	0
g10252.t1	0	4	4	4	3	0	0	0
g10253.t1	0	9	2	2	4	4	0	0
g10254.t1	79	63	60	60	101	80	81	81
g10255.t1	0	0	0	0	0	0	0	0
g10256.t1	0	2	0	0	0	0	0	0
g10257.t1	12	13	15	15	4	15	16	16
g10258.t1	3	0	4	4	5	0	0	0
g10259.t1	2	0	4	4	0	10	0	0
g1026.t1	4	0	0	0	0	0	0	0
g10260.t1	5	10	6	6	5	0	4	4
g10261.t1	9	10	0	0	10	2	12	12
g10262.t1	0	0	0	0	0	0	0	0
g10262.t2	9	11	11	11	0	10	8	8
g10263.t1	3	6	7	7	0	8	4	4
g10264.t1	0	0	0	0	2	0	0	0
g10264.t2	0	0	0	0	0	0	0	0
g10264.t3	0	0	4	4	6	2	2	2
g10265.t1	0	0	4	4	0	0	4	4
g10266.t1	5	0	0	0	0	0	0	0
g10267.t1	0	0	0	0	0	0	0	0
g10267.t2	0	0	3	3	0	0	0	0
g10268.t1	72	42	32	32	66	33	30	30
g10269.t1	40	58	35	35	32	65	12	12
g1027.t1	5	0	2	2	0	4	0	0
g10270.t1	0	4	0	0	0	4	0	0
g10271.t1	10	26	16	16	12	22	33	33
g10272.t1	0	0	1	1	0	2	0	0
g10273.t1	0	0	0	0	0	0	0	0
g10274.t1	9	2	8	8	0	0	0	0
g10274.t2	0	0	0	0	0	0	0	0
