Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g5928	0	0	0	0	0	0	0	0
g5929	0	0	3	3	0	0	0	0
g593	3	0	2	2	2	0	3	3
g5930	0	0	0	0	3	4	2	2
g5931	40	51	42	42	50	24	28	28
g5932	0	0	0	0	0	0	0	0
g5933	0	0	0	0	0	0	0	0
g5934	0	0	2	2	0	2	0	0
g5935	6	19	6	6	14	0	0	0
g5936	19	17	13	13	28	4	15	15
g5937	22	10	11	11	12	25	10	10
g5938	14	4	4	4	8	5	0	0
g5939	0	0	0	0	0	0	0	0
g594	6	0	0	0	0	0	0	0
g5940	5	0	0	0	0	0	0	0
g5941	3	0	0	0	8	0	6	6
g5942	0	0	0	0	0	0	0	0
g5943	0	0	0	0	5	4	4	4
g5944	0	0	0	0	2	4	2	2
g5945	0	0	0	0	3	0	0	0
g5946	18	25	18	18	9	22	13	13
g5947	6	4	0	0	7	0	0	0
g5948	3	0	0	0	0	0	0	0
g5949	0	4	0	0	0	0	0	0
g595	0	0	0	0	0	0	0	0
g5950	0	0	0	0	0	0	0	0
g5951	0	0	0	0	4	6	0	0
g5952	0	0	0	0	0	0	0	0
g5953	0	0	0	0	0	0	0	0
g5954	6	7	4	4	0	2	12	12
g5955	0	0	0	0	6	0	2	2
g5956	0	7	0	0	0	0	0	0
g5957	16	20	15	15	14	20	10	10
g5958	4	0	0	0	4	0	4	4
g5959	16	0	0	0	0	0	0	0
g596	2	2	0	0	2	0	0	0
g5960	0	0	2	2	3	0	0	0
g5961	13	8	10	10	12	9	11	11
g5962	6	8	7	7	7	8	0	0
g5963	27	24	29	29	18	12	17	17
g5964	0	0	0	0	11	0	3	3
g5965	2	0	0	0	0	0	0	0
g5966	0	0	0	0	0	0	0	0
g5967	5	4	4	4	4	4	4	4
g5968	2	0	0	0	0	0	0	0
g5969	0	0	0	0	0	0	0	0
g597	7	0	0	0	4	7	4	4
g5970	3	0	3	3	0	0	2	2
g5971	0	0	1	1	0	0	0	0
g5972	5	4	3	3	6	3	5	5
g5973	0	0	0	0	0	0	0	0
g5974	0	6	0	0	4	2	2	2
g5975	0	0	0	0	0	0	0	0
g5976	0	0	0	0	0	0	0	0
g5977	0	6	0	0	8	14	0	0
g5978	0	0	0	0	0	0	0	0
g5979	0	0	0	0	0	0	0	0
g598	0	0	0	0	0	0	0	0
g5980	10	17	0	0	4	0	10	10
g5981	77	68	58	58	81	54	76	76
g5982	0	0	0	0	0	0	0	0
g5983	8	0	0	0	6	0	0	0
g5984	39	26	34	34	38	24	40	40
g5985	0	0	0	0	0	0	0	0
g5986	0	0	0	0	0	0	0	0
g5987	0	0	0	0	0	0	3	3
g5988	0	0	0	0	0	0	0	0
g5989	6	4	10	10	14	16	0	0
g599	34	21	10	10	31	16	15	15
g5990	0	0	0	0	0	0	0	0
g5991	0	0	0	0	3	0	4	4
g5992	6	4	0	0	0	4	3	3
g5993	0	3	0	0	3	0	0	0
g5994	0	0	0	0	0	0	0	0
g5995	3	0	0	0	0	5	0	0
g5996	0	0	0	0	0	0	0	0
g5997	0	0	0	0	0	0	0	0
g5998	0	0	0	0	0	0	0	0
g5999	0	0	0	0	2	0	0	0
g6	0	0	0	0	0	0	0	0
g60	0	0	0	0	0	0	0	0
g600	0	0	0	0	0	0	0	0
g6000	0	0	0	0	4	0	0	0
g6001	12	4	2	2	6	14	2	2
g6002	0	0	8	8	0	0	4	4
g6003	0	0	0	0	0	8	0	0
g6004	6	0	0	0	0	0	0	0
g6005	17	8	7	7	2	7	10	10
g6006	4	14	2	2	7	9	3	3
g6007	6	4	0	0	5	5	4	4
g6008	16	8	6	6	8	13	8	8
g6009	14	19	32	32	21	10	25	25
g601	0	0	0	0	0	0	0	0
g6010	0	0	3	3	0	0	0	0
g6011	0	0	2	2	0	0	0	0
g6012	2	4	0	0	0	0	10	10
g6013	0	0	0	0	0	0	0	0
g6014	8	8	8	8	8	14	18	18
g6015	4	0	2	2	0	0	0	0
g6016	0	0	4	4	4	3	4	4
g6017	11	11	11	11	17	19	18	18
g6018	5	6	12	12	19	7	5	5
g6019	0	0	0	0	0	0	0	0
g602	0	0	0	0	0	0	0	0
g6020	0	0	0	0	0	0	0	0
g6021	3	0	0	0	0	0	0	0
g6022	0	0	0	0	2	0	3	3
g6023	0	0	0	0	1	0	0	0
g6024	6	2	2	2	4	2	5	5
g6025	0	0	0	0	0	0	2	2
g6026	0	0	0	0	0	0	0	0
g6027	0	0	0	0	0	0	0	0
g6028	0	1	0	0	0	0	0	0
g6029	0	0	0	0	0	0	0	0
g603	86	58	80	80	65	53	59	59
g6030	8	0	0	0	0	4	3	3
g6031	18	10	9	9	7	14	9	9
g6032	0	2	0	0	6	0	0	0
g6033	0	0	3	3	0	0	0	0
g6034	0	0	4	4	0	0	0	0
g6035	2	0	8	8	0	0	0	0
g6036	12	9	11	11	0	23	24	24
g6037	0	0	0	0	0	0	0	0
g6038	10	9	7	7	9	2	14	14
g6039	4	0	7	7	4	4	3	3
g604	0	0	0	0	12	8	6	6
g6040	0	5	0	0	0	0	5	5
g6041	0	2	0	0	0	0	2	2
g6042	0	0	4	4	9	0	11	11
g6043	11	9	6	6	14	20	20	20
g6044	2	5	4	4	5	0	7	7
g6045	12	24	25	25	20	49	33	33
g6046	5	0	11	11	5	5	0	0
g6047	43	15	18	18	28	27	33	33
g6048	14	13	0	0	0	14	10	10
g6049	0	0	0	0	0	0	0	0
g605	0	0	0	0	0	0	0	0
g6050	0	0	0	0	0	0	3	3
g6051	0	0	0	0	0	0	0	0
g6052	7	4	7	7	0	7	0	0
g6053	0	4	4	4	0	4	0	0
g6054	14	12	11	11	12	12	16	16
g6055	12	10	10	10	12	12	10	10
g6056	0	0	3	3	6	6	0	0
g6057	0	0	0	0	5	0	0	0
g6058	7	7	4	4	9	0	12	12
g6059	0	0	0	0	0	0	0	0
g606	0	2	0	0	0	0	0	0
g6060	0	0	4	4	0	3	0	0
g6061	0	4	14	14	4	14	6	6
